Date,Open,High,Low,Close
2021-02-16,15313.45,15382.321087744594,15260.787920032715,15313.45
2021-02-17,15313.45,15430.923545362644,15098.418143764928,15208.9
2021-02-18,15208.9,15307.160566916677,15016.913077669913,15118.95
2021-02-19,15118.95,15205.132329775466,14881.115153262423,14981.75
2021-02-22,14981.75,15029.79390346463,14571.0507227631,14675.7
2021-02-23,14675.7,14755.947002754723,14577.720543537649,14707.8
2021-02-24,14707.8,15022.829968594022,14619.303815991381,14982.0
2021-02-25,14982.0,15206.814640832725,14934.670240817162,15097.35
2021-02-26,15097.35,15181.128624968065,14491.63360465177,14529.15
2021-03-01,14529.15,14855.510313060284,14417.600687331627,14761.55
2021-03-02,14761.55,14956.625611921552,14674.224900838748,14919.1
2021-03-03,14919.1,15364.995842795877,14814.505902029485,15245.6
2021-03-04,15245.6,15352.095412389406,15003.890578065591,15080.75
2021-03-05,15080.75,15134.364320067649,14892.435335837781,14938.1
2021-03-08,14938.1,15007.32357921744,14891.720219026098,14956.2
2021-03-09,14956.2,15150.143202048797,14861.998581976892,15098.4
2021-03-10,15098.4,15237.07368505539,15025.413566994046,15174.8
2021-03-12,15174.8,15255.044771041838,14977.996888011541,15030.95
2021-03-15,15030.95,15102.893649672578,14852.569339600774,14929.5
2021-03-16,14929.5,14989.602282187408,14869.303568783454,14910.45
2021-03-17,14910.45,14996.22183210683,14637.991576645585,14721.3
2021-03-18,14721.3,14767.610931916042,14500.98175245657,14557.85
2021-03-19,14557.85,14803.506931908818,14456.61281627315,14744.0
2021-03-22,14744.0,14809.600946138075,14675.420379359704,14736.4
2021-03-23,14736.4,14888.142151672604,14663.078352859786,14814.75
2021-03-24,14814.75,14913.642059143072,14513.534637453302,14549.4
2021-03-25,14549.4,14599.797478987426,14284.708591231378,14324.9
2021-03-26,14324.9,14583.894378303026,14258.195958083192,14507.3
2021-03-30,14507.3,14929.977179690799,14431.773216026548,14845.1
2021-03-31,14845.1,14884.179058837615,14606.079877548966,14690.7
2021-04-01,14690.7,14953.614098941935,14630.735362018388,14867.35
2021-04-05,14867.35,14916.458868899175,14545.700447224637,14637.8
2021-04-06,14637.8,14724.089436367356,14531.833799572883,14683.5
2021-04-07,14683.5,14933.360580436669,14583.217035537024,14819.05
2021-04-08,14819.05,14989.927779307847,14780.052898086988,14873.8
2021-04-09,14873.8,14976.56137903835,14759.328168475444,14834.85
2021-04-12,14834.85,14893.607813676164,14268.044925135082,14310.8
2021-04-13,14310.8,14547.545121083742,14256.327918541936,14504.8
2021-04-15,14504.8,14672.317294120841,14389.237480884665,14581.45
2021-04-16,14581.45,14688.963705531425,14534.702480557904,14617.85
2021-04-19,14617.85,14662.126130815515,14284.87026682757,14359.45
2021-04-20,14359.45,14433.405144195203,14212.599190815408,14296.4
2021-04-22,14296.4,14443.499034683398,14205.154271881738,14406.15
2021-04-23,14406.15,14513.598180030775,14261.98450117722,14341.35
2021-04-26,14341.35,14540.755196987468,14305.793427940745,14485.0
2021-04-27,14485.0,14742.581964089017,14423.044218312518,14653.05
2021-04-28,14653.05,14926.172211306075,14574.279996591424,14864.55
2021-04-29,14864.55,14974.027382544391,14821.47316877857,14894.9
2021-04-30,14894.9,14974.808887501356,14567.257036917998,14631.1
2021-05-03,14631.1,14684.421011849841,14593.257004062692,14634.15
2021-05-04,14634.15,14747.652867915778,14455.329366169557,14496.5
2021-05-05,14496.5,14716.385181915028,14428.925036487068,14617.85
2021-05-06,14617.85,14837.609550482568,14571.566887563255,14724.8
2021-05-07,14724.8,14933.004856221152,14642.113078500513,14823.15
2021-05-10,14823.15,15028.242212190971,14729.595889463106,14942.35
2021-05-11,14942.35,15054.65873325631,14748.528047637952,14850.75
2021-05-12,14850.75,14893.304568315874,14644.755954838554,14696.5
2021-05-14,14696.5,14747.835664644888,14628.80693526306,14677.8
2021-05-17,14677.8,14962.74518825243,14633.245743227675,14923.15
2021-05-18,14923.15,15171.884129753145,14833.04514962247,15108.1
2021-05-19,15108.1,15176.886876607508,14934.614397613439,15030.15
2021-05-20,15030.15,15088.57507651641,14867.638861937161,14906.05
2021-05-21,14906.05,15282.148225806746,14790.068390477636,15175.3
2021-05-24,15175.3,15264.53672818531,15134.402393725719,15197.7
2021-05-25,15197.7,15268.876719285588,15115.098961796588,15208.45
2021-05-26,15208.45,15384.676087097194,15110.968457122028,15301.45
2021-05-27,15301.45,15386.765097894564,15189.829914861966,15337.85
2021-05-28,15337.85,15542.037178225466,15239.079022657768,15435.65
2021-05-31,15435.65,15626.704283513865,15328.289537111985,15582.8
2021-06-01,15582.8,15706.25508962527,15507.86379934458,15574.85
2021-06-02,15574.85,15680.943258262905,15466.392597954266,15576.2
2021-06-03,15576.2,15745.467184125055,15531.503792112158,15690.35
2021-06-04,15690.35,15728.443184552794,15554.118196054058,15670.25
2021-06-07,15670.25,15861.385192853315,15584.143332669684,15751.65
2021-06-08,15751.65,15851.731869556217,15630.283407677674,15740.1
2021-06-09,15740.1,15841.455220459047,15558.221093736878,15635.35
2021-06-10,15635.35,15843.493735431917,15540.859996713558,15737.75
2021-06-11,15737.75,15843.8196412629,15653.257368666058,15799.35
2021-06-14,15799.35,15881.539275447343,15696.621970834425,15811.85
2021-06-15,15811.85,15917.633228408067,15766.509523082903,15869.25
2021-06-16,15869.25,15983.302667966922,15724.378894789217,15767.55
2021-06-17,15767.55,15859.97971327289,15632.027224157577,15691.4
2021-06-18,15691.4,15758.101741413207,15631.697667670423,15683.35
2021-06-21,15683.35,15789.896200751562,15568.684176384473,15746.5
2021-06-22,15746.5,15838.072859923108,15689.28279845303,15772.75
2021-06-23,15772.75,15838.965033275417,15563.574562941278,15686.95
2021-06-24,15686.95,15892.863615320935,15619.262397531038,15790.45
2021-06-25,15790.45,15955.04139398853,15736.209818249079,15860.35
2021-06-28,15860.35,15976.878898816123,15706.807188106926,15814.7
2021-06-29,15814.7,15894.141537573734,15652.561411784314,15748.45
2021-06-30,15748.45,15796.710725250106,15639.907049845178,15721.5
2021-07-01,15721.5,15821.760598276476,15593.602637319269,15680.0
2021-07-02,15680.0,15826.916082271642,15578.945088489229,15722.2
2021-07-05,15722.2,15922.122213722674,15663.939938932965,15834.35
2021-07-06,15834.35,15940.607768928172,15692.028749781079,15818.25
2021-07-07,15818.25,15961.672446954124,15693.45434427121,15879.65
2021-07-08,15879.65,15963.437302136526,15632.874798771141,15727.9
2021-07-09,15727.9,15803.120505191115,15634.612105579106,15689.8
2021-07-12,15689.8,15732.496036254728,15592.360281583806,15692.6
2021-07-13,15692.6,15859.853335231459,15648.257251531559,15812.35
2021-07-14,15812.35,15894.789829735142,15771.579125870865,15853.95
2021-07-15,15853.95,16019.170309357862,15792.752914421912,15924.2
2021-07-16,15924.2,15990.447609762798,15843.931269819679,15923.4
2021-07-19,15923.4,16006.068530150817,15638.000935440508,15752.4
2021-07-20,15752.4,15869.365191311535,15530.926754153235,15632.1
2021-07-22,15632.1,15884.118671112514,15528.30757928995,15824.05
2021-07-23,15824.05,15930.544012022074,15748.214275920218,15856.05
2021-07-26,15856.05,15960.983294800177,15755.815626440266,15824.45
2021-07-27,15824.45,15882.416929688832,15675.940277355367,15746.45
2021-07-28,15746.45,15790.9246858946,15584.81130048329,15709.4
2021-07-29,15709.4,15841.920521348473,15667.987699121042,15778.45
2021-07-30,15778.45,15830.512819587477,15648.683139380262,15763.05
2021-08-02,15763.05,16005.977325307813,15673.44850426769,15885.15
2021-08-03,15885.15,16242.46309175089,15806.815104230682,16130.75
2021-08-04,16130.75,16355.492075979568,16025.694692204717,16258.8
2021-08-05,16258.8,16413.22760970409,16175.284535895542,16294.6
2021-08-06,16294.6,16406.652732346978,16119.804521142141,16238.2
2021-08-09,16238.2,16314.25629489535,16117.17471794886,16258.25
2021-08-10,16258.25,16400.545558607373,16180.730070375083,16280.1
2021-08-11,16280.1,16370.504949223214,16215.78127535143,16282.25
2021-08-12,16282.25,16477.668892580932,16188.692076783494,16364.4
2021-08-13,16364.4,16651.714703151163,16240.279108134217,16529.1
2021-08-16,16529.1,16632.29712175434,16469.80911313018,16563.05
2021-08-17,16563.05,16664.714464749442,16465.213052644067,16614.6
2021-08-18,16614.6,16675.514331700142,16470.485091304992,16568.85
2021-08-20,16568.85,16647.67756539006,16343.482375658641,16450.5
2021-08-23,16450.5,16611.609782237694,16398.75428145982,16496.45
2021-08-24,16496.45,16744.631129264657,16389.909259236018,16624.6
2021-08-25,16624.6,16675.22077904559,16499.99678820861,16634.65
2021-08-26,16634.65,16724.413170070216,16577.980968481806,16636.9
2021-08-27,16636.9,16784.340912022886,16574.585550991498,16705.2
2021-08-30,16705.2,16992.743423289034,16572.463742120948,16931.05
2021-08-31,16931.05,17184.817201698912,16872.569733244425,17132.2
2021-09-01,17132.2,17205.468125995816,16953.56471667635,17076.25
2021-09-02,17076.25,17366.51334473263,16987.377693649658,17234.15
2021-09-03,17234.15,17396.531254553665,17168.588939453028,17323.6
2021-09-06,17323.6,17469.993182132577,17197.155661247732,17377.8
2021-09-07,17377.8,17487.82199861091,17277.13492753986,17362.1
2021-09-08,17362.1,17439.085779307377,17261.821855472055,17353.5
2021-09-09,17353.5,17505.459305265686,17276.871960471897,17369.25
2021-09-13,17369.25,17504.44266461229,17256.018576493312,17355.3
2021-09-14,17355.3,17446.21746728809,17297.672548529044,17380.0
2021-09-15,17380.0,17610.281193884715,17299.584732807154,17519.45
2021-09-16,17519.45,17701.515071312322,17381.433774594985,17629.5
2021-09-17,17629.5,17699.75455179033,17517.52547524924,17585.15
2021-09-20,17585.15,17630.49618379282,17291.166420355596,17396.9
2021-09-21,17396.9,17664.09774546679,17322.769667715682,17562.0
2021-09-22,17562.0,17653.505824144457,17428.53561156336,17546.65
2021-09-23,17546.65,17870.86309797371,17490.81261361672,17822.95
2021-09-24,17822.95,17923.90617390973,17683.14162914082,17853.2
2021-09-27,17853.2,17988.768438034927,17764.97399721399,17855.1
2021-09-28,17855.1,17921.507213767072,17682.541794578992,17748.6
2021-09-29,17748.6,17805.478268669187,17661.503231530478,17711.3
2021-09-30,17711.3,17801.87377203151,17559.1178466811,17618.15
2021-10-01,17618.15,17756.997569046343,17438.941944013222,17532.05
2021-10-04,17532.05,17757.689657803916,17456.203758307776,17691.25
2021-10-05,17691.25,17932.155927652577,17565.74987513409,17822.3
2021-10-06,17822.3,17939.911822499707,17561.0703290418,17646.0
2021-10-07,17646.0,17856.721708452285,17578.524761827757,17790.35
2021-10-08,17790.35,18011.125312329405,17685.55549540005,17895.2
2021-10-11,17895.2,18025.98149917949,17781.100503865953,17945.95
2021-10-12,17945.95,18098.83860337699,17885.939025932792,17991.95
2021-10-13,17991.95,18269.771846056705,17931.313953512024,18161.75
2021-10-14,18161.75,18437.58437266278,18113.971475540206,18338.55
2021-10-18,18338.55,18530.73733613639,18218.008473626174,18477.05
2021-10-19,18477.05,18607.41227590755,18306.076881998448,18418.75
2021-10-20,18418.75,18495.40338235495,18174.20876281216,18266.6
2021-10-21,18266.6,18329.214531949838,18048.53823690492,18178.1
2021-10-22,18178.1,18225.7121306258,17989.69428817942,18114.9
2021-10-25,18114.9,18228.8779173338,18011.984260819954,18125.4
2021-10-26,18125.4,18381.561054012127,17992.7290484588,18268.4
2021-10-27,18268.4,18313.797928689997,18146.251761690055,18210.95
2021-10-28,18210.95,18305.017013085762,17803.200570908455,17857.25
2021-10-29,17857.25,17922.07626276835,17602.54328395476,17671.65
2021-11-01,17671.65,18037.460405000766,17622.886974844023,17929.65
2021-11-02,17929.65,17990.051181048835,17792.80495528357,17888.95
2021-11-03,17888.95,18000.725735872988,17692.895910829237,17829.2
2021-11-04,17829.2,17998.603055174546,17782.252182043085,17916.8
2021-11-08,17916.8,18206.69649477274,17861.079925113998,18068.55
2021-11-09,18068.55,18125.752388859873,17955.25008302982,18044.25
2021-11-10,18044.25,18121.9036196968,17879.7341673915,18017.2
2021-11-11,18017.2,18071.454449843775,17799.058612555687,17873.6
2021-11-12,17873.6,18239.937785430437,17778.73226837529,18102.75
2021-11-15,18102.75,18241.88622565728,18055.071294970952,18109.45
2021-11-16,18109.45,18178.647440495195,17941.049589920563,17999.2
2021-11-17,17999.2,18108.308571295078,17756.800895398337,17898.65
2021-11-18,17898.65,18022.585138075956,17626.151692536696,17764.8
2021-11-22,17764.8,17860.74994309347,17374.268470420317,17416.55
2021-11-23,17416.55,17597.27373292374,17281.246549039428,17503.35
2021-11-24,17503.35,17568.732590536416,17310.924168230897,17415.05
2021-11-25,17415.05,17587.479971106844,17287.73081972325,17536.25
2021-11-26,17536.25,17662.661315755224,16942.227929676243,17026.45
2021-11-29,17026.45,17180.87131334538,16936.2800062071,17053.95
2021-11-30,17053.95,17154.921376547314,16895.948116245814,16983.2
2021-12-01,16983.2,17240.693066911743,16877.89068467194,17166.9
2021-12-02,17166.9,17477.44416764673,17111.52713135895,17401.65
2021-12-03,17401.65,17512.832715327837,17152.541417735407,17196.7
2021-12-06,17196.7,17322.253456765746,16842.496986333816,16912.25
2021-12-07,16912.25,17303.252497348578,16803.243015679127,17176.7
2021-12-08,17176.7,17587.97309257658,17115.025155666743,17469.75
2021-12-09,17469.75,17621.87012342925,17361.64963644975,17516.85
2021-12-10,17516.85,17567.128160946497,17374.16012344721,17511.3
2021-12-13,17511.3,17568.704164316012,17317.433209800747,17368.25
2021-12-14,17368.25,17497.006984180553,17218.064759146986,17324.9
2021-12-15,17324.9,17424.71528148492,17137.273439850305,17221.4
2021-12-16,17221.4,17290.684512780586,17096.149076781734,17248.4
2021-12-17,17248.4,17298.816160919374,16927.58554221916,16985.2
2021-12-20,16985.2,17086.805966116965,16509.884333865335,16614.2
2021-12-21,16614.2,16811.575407555305,16495.236887489787,16770.85
2021-12-22,16770.85,17011.41188810228,16640.465308661547,16955.45
2021-12-23,16955.45,17166.036789957103,16849.152766388444,17072.6
2021-12-24,17072.6,17179.291952619493,16915.599521796354,17003.75
2021-12-27,17003.75,17189.63860919299,16903.625522515827,17086.25
2021-12-28,17086.25,17296.253178832663,16961.0354817869,17233.25
2021-12-29,17233.25,17343.21398216969,17117.282771565442,17213.6
2021-12-30,17213.6,17277.746560057505,17159.73296624824,17203.95
2021-12-31,17203.95,17427.32293473831,17071.828190828128,17354.05
2022-01-03,17354.05,17741.683307931457,17243.68932672832,17625.7
2022-01-04,17625.7,17912.757106584257,17515.512656212184,17805.25
2022-01-05,17805.25,18053.51683485818,17740.579626257102,17925.25
2022-01-06,17925.25,18033.19178270265,17637.83175226927,17745.9
2022-01-07,17745.9,17912.13989968835,17663.861104407864,17812.7
2022-01-10,17812.7,18055.95206770678,17703.8357611288,18003.3
2022-01-11,18003.3,18136.264353822105,17949.18834420089,18055.75
2022-01-12,18055.75,18283.107406709867,17944.947269973592,18212.35
2022-01-13,18212.35,18326.565119020965,18066.347542834694,18257.8
2022-01-14,18257.8,18401.086809635563,18207.0073772008,18255.75
2022-01-17,18255.75,18392.34192573664,18111.625424980004,18308.1
2022-01-18,18308.1,18442.054349595004,18028.30475226736,18113.05
2022-01-19,18113.05,18219.5032159201,17807.876267316235,17938.4
2022-01-20,17938.4,18060.05220017514,17636.58341337363,17757.0
2022-01-21,17757.0,17848.869345162868,17518.92926107545,17617.15
2022-01-24,17617.15,17713.71078148394,17037.025219727515,17149.1
2022-01-25,17149.1,17367.07137809234,17022.630811522635,17277.95
2022-01-27,17277.95,17337.72192612297,17030.362191462817,17110.15
2022-01-28,17110.15,17220.384583734543,17029.58505324658,17101.95
2022-01-31,17101.95,17408.729523633672,16995.50893266668,17339.85
2022-02-01,17339.85,17621.427869329593,17218.148993110182,17576.85
2022-02-02,17576.85,17886.940385558886,17458.27879370056,17780.0
2022-02-03,17780.0,17839.56103413413,17439.60082347455,17560.2
2022-02-04,17560.2,17694.489906326166,17431.533955103354,17516.3
2022-02-07,17516.3,17649.567691737313,17093.451282044116,17213.6
2022-02-08,17213.6,17396.6519143751,17160.536329641804,17266.75
2022-02-09,17266.75,17541.91363405332,17171.587327229776,17463.8
2022-02-10,17463.8,17649.627950483842,17420.978197767585,17605.85
2022-02-11,17605.85,17737.873496493798,17301.468853170867,17374.75
2022-02-14,17374.75,17455.558911850363,16767.81274529862,16842.8
2022-02-15,16842.8,17488.0293247224,16762.656545793914,17352.45
2022-02-16,17352.45,17487.49858061596,17213.163396532753,17322.2
2022-02-17,17322.2,17446.392569569252,17225.415441892237,17304.6
2022-02-18,17304.6,17374.550249406744,17191.426992457924,17276.3
2022-02-21,17276.3,17354.70291425835,17142.46494317075,17206.65
2022-02-22,17206.65,17329.138950014643,17015.452432071834,17092.2
2022-02-23,17092.2,17163.435028665106,17000.581632582573,17063.25
2022-02-24,17063.25,17117.6669741717,16202.294931226277,16247.95
2022-02-25,16247.95,16750.322501643004,16151.675906931288,16658.4
2022-02-28,16658.4,16922.24682210596,16555.252006061146,16793.9
2022-03-02,16793.9,16898.48040161173,16508.48725601662,16605.95
2022-03-03,16605.95,16698.21274704828,16415.632891707784,16498.05
2022-03-04,16498.05,16545.87937045724,16171.810543625406,16245.35
2022-03-07,16245.35,16338.054890573992,15748.38536937405,15863.15
2022-03-08,15863.15,16140.665675825332,15778.168894811737,16013.45
2022-03-09,16013.45,16397.4012846473,15930.359745180316,16345.35
2022-03-10,16345.35,16682.896880988865,16303.139285900033,16594.9
